parent Sku,item_sku,relationship_type,Image Name,Image Height,Image Width,Ratio,size_name_current,size_name_suggested,current_price,suggested_price
517059,517059,Single,5257049_WA_Mount_Barney_20110427.jpg,1600,1147,1.4,,24in x 18in,,19.99
535146,535146,Single,535146.jpg,253,1600,0.2,24in x 4in,44in x 7in,29.99,19.99
103978,103978,Single,5125874_KS_Cherryvale_20091020.jpg,1600,1243,1.3,24in x 30in,30in x 24in,59.99,
103979,103979,Single,5125924_KS_Severy_South_20091021.jpg,1600,1238,1.3,24in x 32in,30in x 24in,59.99,
103980,103980,Single,5125928_KS_Lafontaine_20091020.jpg,1600,1241,1.3,18in x 24in,24in x 18in,39.99,
103981,103981,Single,5125930_KS_Melrose_20091021.jpg,1600,1247,1.3,24in x 30in,30in x 24in,59.99,
103982,103982,Single,5125942_KS_Ulysses_SW_20091021.jpg,1600,1238,1.3,24in x 32in,30in x 24in,59.99,
103983,103983,Single,5125954_KS_Hale_20091026.jpg,1600,1244,1.3,18in x 24in,24in x 18in,49.99,39.99
103984,103984,Single,5126119_KS_Allen_SW_20091026.jpg,1600,1222,1.3,24in x 31in,32in x 24in,49.99,59.99
103985,103985,Single,5126121_KS_Americus_20091026.jpg,1600,1222,1.3,24in x 31in,32in x 24in,49.99,59.99
103986,103986,Single,5126125_KS_Bayneville_20091026.jpg,1600,1238,1.3,24in x 32in,30in x 24in,59.99,
103987,103987,Single,5126127_KS_Beaumont_20091026.jpg,1600,1236,1.3,18in x 24in,24in x 18in,39.99,
103988,103988,Single,5126137_KS_Council_Grove_20091026.jpg,1600,1220,1.3,18in x 24in,24in x 18in,39.99,
103989,103989,Single,5126139_KS_Council_Grove_Lake_20091026.jpg,1600,1220,1.3,18in x 24in,24in x 18in,39.99,
103990,103990,Single,5126141_KS_Delavan_20091026.jpg,1600,1220,1.3,18in x 24in,24in x 18in,39.99,
103991,103991,Single,5126143_KS_Diamond_Springs_20091026.jpg,1600,1222,1.3,24in x 31in,32in x 24in,49.99,59.99
