Sku,ImageHeight,ImageWidth
p:/05_Calendar Images/03_2017_Cal_AMZ/NEW101994.jpg,820,1024
p:/05_Calendar Images/03_2017_Cal_AMZ/BAL101779.jpg,819,1024
p:/05_Calendar Images/03_2017_Cal_AMZ/BAL101782.jpg,820,1024
p:/05_Calendar Images/03_2017_Cal_AMZ/BKL101622.jpg,1024,820
p:/05_Calendar Images/03_2017_Cal_AMZ/BKL101995.jpg,820,1024
p:/05_Calendar Images/03_2017_Cal_AMZ/BOS101873.jpg,1024,820
p:/05_Calendar Images/03_2017_Cal_AMZ/BUF101619.jpg,820,1024
p:/05_Calendar Images/03_2017_Cal_AMZ/BUF101689.jpg,824,1024
p:/05_Calendar Images/03_2017_Cal_AMZ/BUF102061.jpg,820,1024
p:/05_Calendar Images/03_2017_Cal_AMZ/BUF102074.jpg,1024,820
p:/05_Calendar Images/03_2017_Cal_AMZ/CHI101664.jpg,820,1024
p:/05_Calendar Images/03_2017_Cal_AMZ/CHI102035.jpg,820,1024
p:/05_Calendar Images/03_2017_Cal_AMZ/CHI102038.jpg,819,1024
p:/05_Calendar Images/03_2017_Cal_AMZ/CHS 102062.jpg,819,1024
p:/05_Calendar Images/03_2017_Cal_AMZ/CHS101827.jpg,1024,819
p:/05_Calendar Images/03_2017_Cal_AMZ/CHS101833.jpg,820,1024
p:/05_Calendar Images/03_2017_Cal_AMZ/CIN101771.jpg,819,1024
p:/05_Calendar Images/03_2017_Cal_AMZ/CIN101777.jpg,820,1024
p:/05_Calendar Images/03_2017_Cal_AMZ/CLE101732.jpg,819,1024
p:/05_Calendar Images/03_2017_Cal_AMZ/CLE101733.jpg,819,1024
p:/05_Calendar Images/03_2017_Cal_AMZ/CLE101736.jpg,820,1024
p:/05_Calendar Images/03_2017_Cal_AMZ/DEN102050.jpg,820,1024
p:/05_Calendar Images/03_2017_Cal_AMZ/DEN102053.jpg,820,1024
p:/05_Calendar Images/03_2017_Cal_AMZ/DEN102058.jpg,820,1024
p:/05_Calendar Images/03_2017_Cal_AMZ/DEN102060.jpg,820,1024
p:/05_Calendar Images/03_2017_Cal_AMZ/DET101755.jpg,820,1024
