Sku,ImageHeight,ImageWidth
579016,297,1200
582845,360,1200
581980,363,1200
579243,377,1200
579328,415,1200
579360,424,1200
582133,444,1200
582774,465,1200
581070,475,1200
581510,479,1200
579335,496,1200
579169,501,1200
581876,509,1200
580227,516,1200
579420,519,1200
580490,523,1200
581639,525,1200
579334,532,1200
580788,533,1200
580476,534,1200
580554,538,1200
581251,542,1200
579712,544,1200
579327,559,1200
581240,560,1200
582723,563,1200
582120,568,1200
581252,575,1200
582580,594,1200
582177,611,1200
580495,612,1200
582703,615,1200
580208,628,1200
580192,634,1200
582759,634,1200
579381,635,1200
579372,636,1200
581145,640,1200
579390,641,1200
581232,641,1200
579380,643,1200
581348,645,1200
579375,649,1200
579442,649,1200
559871,653,1200
581274,656,1200
579892,659,1200
579344,660,1200
579399,666,1200
582258,666,1200
582732,667,1200
581349,668,1200
579382,669,1200
579353,672,1200
579364,672,1200
581273,672,1200
578977,673,1200
579445,676,1200
579403,677,1200
579371,678,1200
581710,678,1200
579355,679,1200
579163,680,1200
579373,680,1200
581798,681,1200
579354,682,1200
581658,683,1200
582676,685,1200
579367,686,1200
579444,687,1200
581342,687,1200
560600,689,1200
582282,690,1200
560560,691,1200
579404,692,1200
579393,693,1200
579398,693,1200
582358,693,1200
579180,699,1200
582579,699,1200
580172,700,1200
579447,702,1200
560167,703,1200
581659,703,1200
579392,705,1200
579441,706,1200
582565,706,1200
581137,707,1200
579363,709,1200
581648,709,1200
579439,710,1200
579374,711,1200
559876,712,1200
579400,712,1200
579440,712,1200
582259,712,1200
582168,713,1200
581811,715,1200
582171,716,1200
582370,716,1200
581895,1200,999
581571,1200,998
582176,1200,998
559637,1200,997
579943,1200,997
581245,1200,997
582195,1200,997
582440,1200,997
582767,1200,997
579317,1200,996
582654,1200,996
579968,1200,995
579973,1200,995
582122,1200,995
559773,1200,994
581885,1200,994
582234,1200,994
560315,1200,993
560430,1200,993
578828,1200,993
581315,1200,993
582416,1200,993
559765,1200,992
581557,1200,992
582414,1200,992
582769,1200,992
559762,1200,991
560469,1200,991
579945,1200,991
559842,1200,990
582280,1200,990
582582,1200,990
559869,1200,989
560295,1200,989
582165,1200,989
582269,1200,989
582761,1200,989
560465,1200,988
579936,1200,988
581886,1200,988
581981,1200,988
582286,1200,988
559868,1200,987
581883,1200,987
582478,1200,987
582662,1200,987
579513,1200,986
579987,1200,986
582297,1200,986
560576,1200,985
582001,1200,985
582471,1200,985
559742,1200,984
560629,1200,984
581887,1200,984
582046,1200,984
582163,1200,984
582677,1200,984
581286,1200,983
579017,1200,982
579267,1200,982
579956,1200,982
581278,1200,982
581894,1200,982
582288,1200,982
582656,1200,982
580136,1200,981
582650,1200,981
582733,1200,981
560248,1200,980
581284,1200,980
581656,1200,980
582352,1200,980
580860,1200,979
581299,1200,979
582191,1200,979
582287,1200,979
582290,1200,979
582661,1200,979
578838,1200,978
581295,1200,978
560217,1200,977
581276,1200,977
581277,1200,977
581289,1200,977
582099,1200,977
582293,1200,977
560457,1200,976
579212,1200,976
580222,1200,976
582296,1200,976
582705,1200,976
579691,1200,975
581283,1200,975
582655,1200,975
559845,1200,974
560466,1200,974
560583,1200,974
560638,1200,974
578835,1200,974
582252,1200,974
560409,1200,973
560527,1200,973
580987,1200,973
581285,1200,973
582482,1200,973
582651,1200,973
559755,1200,972
560549,1200,972
560585,1200,972
578833,1200,972
581312,1200,971
582188,1200,971
582283,1200,971
579969,1200,970
581279,1200,970
582707,1200,970
559945,1200,969
560047,1200,969
560051,1200,969
560101,1200,969
560294,1200,969
560382,1200,969
581538,1200,969
581998,1200,969
582206,1200,969
582239,1200,969
560620,1200,968
579213,1200,968
582173,1200,968
559766,1200,967
579211,1200,967
581314,1200,967
582660,1200,967
559935,1200,966
559967,1200,966
560007,1200,966
582207,1200,966
582591,1200,966
559746,1200,965
560292,1200,965
560391,1200,965
579330,1200,965
582194,1200,965
559651,1200,964
582181,1200,964
582727,1200,964
559647,1200,963
578831,1200,963
582710,1200,963
560106,1200,962
581738,1200,962
582086,1200,962
559948,1200,961
559949,1200,961
560108,1200,961
581786,1200,961
582076,1200,961
582706,1200,961
582748,1200,961
559643,1200,960
581306,1200,960
581986,1200,960
559867,1200,959
560211,1200,959
580224,1200,959
581014,1200,959
581519,1200,959
581741,1200,959
582179,1200,959
582205,1200,959
582773,1200,959
560127,1200,958
560390,1200,957
560503,1200,957
560652,1200,957
580225,1200,957
581515,1200,957
581673,1200,957
578845,1200,956
579297,1200,956
581521,1200,956
582043,1200,956
582573,1200,956
559887,1200,955
582231,1200,955
582236,1200,955
560483,1200,954
579228,1200,954
581511,1200,954
582180,1200,954
560586,1200,953
581517,1200,953
582716,1200,953
559971,1200,952
560132,1200,952
581866,1200,952
560525,1200,951
578826,1200,951
578830,1200,951
581575,1200,951
581694,1200,951
582726,1200,951
560303,1200,950
560359,1200,950
560521,1200,950
560542,1200,950
581793,1200,950
582184,1200,950
582521,1200,950
582592,1200,950
578844,1200,949
581855,1200,949
582047,1200,949
582100,1200,949
582738,1200,949
582105,1200,948
582652,1200,948
579728,1200,947
580035,1200,947
580959,1200,947
581514,1200,947
582198,1200,947
582523,1200,947
559946,1200,946
560491,1200,946
582091,1200,946
582683,1200,946
560648,1200,945
578941,1200,945
582679,1200,945
559959,1200,944
580016,1200,944
582214,1200,944
582248,1200,944
582266,1200,944
559961,1200,943
578948,1200,943
580179,1200,943
582689,1200,943
560116,1200,942
578836,1200,942
581338,1200,942
581339,1200,942
581513,1200,942
581520,1200,942
581636,1200,942
579974,1200,941
580006,1200,941
581785,1200,941
559638,1200,940
560308,1200,940
579937,1200,940
581999,1200,940
560399,1200,939
581637,1200,939
582115,1200,939
582131,1200,939
582265,1200,939
582589,1200,939
582641,1200,938
582739,1200,938
560478,1200,937
579280,1200,937
