Sku,ImageHeight,ImageWidth
520740,1600,1494
520740,1600,1494
529530,1600,1464
529530,1600,1464
529734,1600,1467
529734,1600,1467
529815,1600,1472
529815,1600,1472
529816,1600,1465
529816,1600,1465
529818,1600,1469
529818,1600,1469
529822,1600,1463
529822,1600,1463
529823,1600,1463
529823,1600,1463
529841,1600,1464
529841,1600,1464
529843,1600,1464
529843,1600,1464
529844,1600,1462
529844,1600,1462
529857,1600,1465
529857,1600,1465
529860,1600,1462
529860,1600,1462
530062,1600,1468
530062,1600,1468
530063,1600,1463
530063,1600,1463
530071,1600,1473
530071,1600,1473
530243,1600,1550
530243,1600,1550
530275,1600,1546
530275,1600,1546
530293,1471,1600
530293,1471,1600
530294,1584,1600
530294,1584,1600
530445,1600,1497
530445,1600,1497
530454,1489,1600
530454,1489,1600
530465,1600,1468
530465,1600,1468
530631,1562,1600
530712,1579,1600
530757,1600,1493
530857,1600,1485
530883,1600,1600
531246,1497,1600
531285,1600,1546
531398,1600,1517
531398,1600,1517
531729,1600,1469
531916,1600,1497
531946,1600,1565
532142,1584,1600
532203,1600,1575
532446,1600,1560
532448,1600,1480
532452,1600,1472
532686,1593,1600
532759,1500,1600
532891,1600,1479
533201,1600,1600
533207,1600,1493
533268,1487,1600
533381,1600,1594
533406,1600,1562
533531,1600,1487
533695,1600,1600
534351,1600,1483
534397,1559,1600
534447,1600,1493
534466,1600,1582
534498,1600,1581
534500,1574,1600
534522,1600,1477
534563,1600,1596
534613,1600,1593
534935,1498,1600
535817,1480,1600
536009,1468,1600
536208,1600,1489
536336,1600,1495
536760,1470,1600
536782,1600,1487
536884,1519,1600
537042,1600,1470
537148,1600,1532
537195,1600,1472
537226,1600,1480
537274,1600,1537
537377,1534,1600
537488,1587,1600
537724,1589,1600
537752,1600,1523
537853,1600,1489
538186,1593,1600
538493,1471,1600
538902,1560,1600
539068,1600,1505
539079,1600,1543
539314,1544,1600
539383,1583,1600
539746,1600,1559
539811,1600,1483
539825,1600,1589
539899,1600,1465
540404,1600,1521
541406,1562,1600
541484,1579,1600
541527,1600,1493
541622,1600,1485
541646,1600,1600
541995,1497,1600
542030,1600,1546
542450,1600,1469
542662,1600,1565
542852,1584,1600
542913,1600,1575
543146,1600,1560
543148,1600,1480
543152,1600,1472
543377,1593,1600
543450,1500,1600
543580,1600,1479
543873,1600,1600
543879,1600,1493
543938,1487,1600
544047,1600,1594
544072,1600,1562
544193,1600,1487
544352,1600,1600
545003,1468,1600
530440,667,1600
530440,667,1600
530951,521,1600
531123,629,1600
531974,353,1600
531975,1600,559
532118,624,1600
532598,1600,606
532719,625,1600
532733,1600,638
532815,534,1600
532816,1600,362
533189,659,1600
533620,650,1600
533772,350,1600
533832,592,1600
535146,253,1600
535696,527,1600
536653,643,1600
538110,634,1600
538147,688,1600
538556,562,1600
538596,1600,564
538759,614,1600
538950,617,1600
539072,529,1600
539977,524,1600
540186,493,1600
540294,572,1600
541711,521,1600
541877,629,1600
542689,353,1600
542690,1600,559
542829,624,1600
543289,1600,606
543410,625,1600
543424,1600,638
543506,534,1600
543507,1600,362
543861,659,1600
544280,650,1600
544427,350,1600
544484,592,1600
